stop_id;stop_name
U16466Z2;Krumvíř, supermarket
U15541Z1;Vrbice, Jednota
U15543Z1;Dolní Dunajovice, Hlavní
U16509Z11;Nesovice, železniční stanice
U16343Z2;Klobouky u Brna, Nádražní
U15542Z1;Vrbice, obecní úřad
U15544Z1;Dolní Dunajovice, Jednota
U16348Z2;Klobouky u Brna, samoobsluha
U16650Z51;Kyjov, železniční stanice
U15512Z1;Bořetice, u Floriánka
U15545Z1;Dolní Dunajovice, rozcestí
U16345Z2;Klobouky u Brna, náměstí
U26802Z11;Vracov
U15511Z1;Bořetice
U15701Z1;Bavory, rozcestí
U16347Z2;Klobouky u Brna, rozcestí
U16908Z11;Bzenec, železniční stanice
U15513Z1;Bořetice, železniční stanice
U15702Z1;Mikulov, Brněnská
U16344Z2;Klobouky u Brna, Martinice, rozcestí
U19316Z13;Veselí nad Moravou, železniční stanice
U15517Z1;Němčičky, u mlýna
U15703Z1;Mikulov, 22. dubna
U15226Z2;Těšany
U29404Z11;Uherský Ostroh
U15518Z1;Němčičky, ZD
U30314Z1;Ostrožská Nová Ves
U15227Z2;Těšany, u váhy
U15515Z1;Němčičky, střed
U31025Z2;Kunovice zastávka
U15223Z2;Moutnice, střed
U15516Z1;Němčičky, transformátor
U16503Z11;Nemotice, železniční stanice
U15232Z2;Moutnice, Rozařín
U15514Z1;Němčičky, rozcestí
U26603Z2;Kyjov zastávka
U15167Z1;Měnín, rozcestí
U1573Z11;Slatina, nádraží
U16138Z4;Telnice
U26801Z11;Vlkoš
U16147Z2;Sokolnice, rozvodna
U19316Z12;Veselí nad Moravou, železniční stanice
U1681Z4;Tuřany, smyčka
U16908Z10;Bzenec, železniční stanice
U1131Z2;Hanácká
U26802Z10;Vracov
U1191Z2;Ivanovické náměstí
U26801Z10;Vlkoš
U1533Z2;Ráječek
U26603Z1;Kyjov zastávka
U1361Z4;Mariánské náměstí
U16650Z50;Kyjov, železniční stanice
U1266Z4;Konopná
U16604Z10;Kyjov, Bohuslavice, železniční stanice
U1696Z21;ÚAN Zvonařka
U26601Z1;Jestřabice
U16608Z12;Kyjov, aut. st.
U16503Z10;Nemotice, železniční stanice
U16820Z1;Vlkoš, Tesko
U16628Z10;Brankovice, železniční stanice
U16823Z1;Vracov, Slokov
U16509Z10;Nesovice, železniční stanice
U16822Z1;Vracov, obecní úřad
U16463Z50;Bučovice, železniční stanice
U16903Z1;Bzenec, Nový Svět
U16333Z10;Slavkov u Brna, žel. st.
U16901Z1;Bzenec, náměstí
U1573Z10;Slatina, nádraží
U16907Z1;Bzenec, ZŠ
U11001Z1;Brno-Černovice
U16900Z1;Bzenec, Doubrava
U31025Z1;Kunovice zastávka
U30314Z2;Ostrožská Nová Ves
U29404Z10;Uherský Ostroh
U16136Z11;Šlapanice, železniční zastávka
U17446Z11;Vyškov, železniční stanice
